course_id,title,num_inst,in_master,master_status,institutions
GRA4950C,PORTFOLIO-GRAPHIC DESIGN AND VIS COM,2,no,,IRSC;UWF
GRE3905,DIRECTED STUDY,2,no,,UCF;UWF
HFT3053,TRAVEL AND TOURISM MANAGEMENT,2,yes,queued,STU;UWF
HFT3214,FOOD SANITATION MANAGEMENT,2,yes,queued,SIUN;UWF
HFT3814C,FOOD & BEVERAGE OPERATIONS MANAGEMENT,2,yes,queued,FSU;UWF
HFT3904,DIRECTED STUDY,2,no,,FIU;UWF
HFT4252,HOTEL AND RESORT MANAGEMENT,2,yes,queued,UCF;UWF
HFT4503,HOSPITALITY / TOURISM MARKETING,2,yes,queued,FAU;UWF
HFT4753,SPECIAL EVENT MANAGEMENT,2,yes,queued,STU;UWF
HFT4940,INTERNSHIP,2,no,,UIC;UWF
HFT4947,EXPERIENTIAL LEARNING INTERNSHIP,2,no,,UCF;UWF
HIM4218,HEALTHCARE DATA ANALYSIS USING PYTHON,2,yes,queued,UCF;UWF
HIS2496,PANDEMICS AND PEOPLE,2,yes,queued,FSU;UWF
HIS3002,THE HISTORIAN'S CRAFT,2,yes,queued,USF;UWF
HIS4491,HISTORY OF MEDICINE AND SOCIETY,2,yes,queued,UNF;UWF
HIS4905,DIRECTED STUDY,2,no,,UF;UWF
HIS5515,HISTORY OF ARCHITECTURE,2,no,,FSU;UWF
HIS6938,SPECIAL TOPICS,2,no,,UCF;UWF
HLP3905,DIRECTED STUDY,2,no,,UCF;UWF
HLP5905,DIRECTED STUDY,2,no,,FAMU;UWF
HLP6535,RESEARCH PROCEDURES,2,no,,UF;UWF
HMG5466,HOSPITALITY REVENUE MANAGEMENT,2,no,,FSU;UWF
HMG6224,LEADERSHIP IN HOSPITALITY AND TOURISM,2,no,,UCF;UWF
HSA3140,STRATEGIC PLANNING IN HEALTHCARE,2,yes,queued,FAMU;UWF
HSA4941,INTERNSHIP,2,no,,UCF;UWF
HSA6103,HEALTH SERVICES ADMINISTRATION,2,no,,FAU;UWF
HSA6425,HEALTH LAW,2,no,,FAU;UWF
HSA6435,DECISION ANALYSIS IN HC,2,no,,FGCU;UWF
HSC3905,DIRECTED STUDY,2,no,,UCF;UWF
HSC6037,PHILOSOPHY & PRINCIPLES OF HEALTH EDUCATION,2,no,,UF;UWF
HSC6587,PUBLIC HEALTH PROGRAM PLANNING,2,no,,UNF;UWF
HSC6667,SOCIAL MARKETING IN HEALTH EDUCATION,2,no,,UCF;UWF
IDC6940,CAPSTONE COURSE IN DATA SCIENCE,2,no,,FIU;UWF
IDH1906,IDENPENDENT STUDY,2,no,,UCF;UWF
IDH3905,DIRECTED STUDY,2,no,,UCF;UWF
IDH4030,HONORS SEMINAR: TOPIC I,2,yes,queued,UCF;UWF
IDH4038,HONORS SEMINAR: TOPIC IX,2,yes,queued,FAU;UWF
INP3313,ORGANIZATIONAL BEHAVIOR,2,yes,queued,FSU;UWF
INP3905,DIRECTED STUDY,2,no,,UCF;UWF
INP4380,PSYCHOLOGY OF TEAMWORK,2,yes,queued,UCF;UWF
INP5131,LEGAL ISSUES IN INDUSTRIAL/ORGANIZATIONAL PSYCHOLOGY,2,no,,FNU;UWF
INR3503,MODEL UNITED NATIONS,2,yes,queued,FAMU;UWF
INR3905,DIRECTED STUDY,2,no,,UCF;UWF
INR4060,CAUSES OF WAR,2,yes,queued,UCF;UWF
INR4061,INTERNATIONAL CONFLICT,2,yes,queued,FGCU;UWF
INR4124,STATECRAFT,2,yes,queued,FSU;UWF
INR4224,WAR AND PEACE IN EAST ASIA,2,yes,queued,UCF;UWF
ISM5327,CORPORATE INFORMATION SECURITY,2,no,,FSU;UWF
ISM5328,CYBERSECURITY RISK MANAGEMENT,2,no,,AU;UWF
ISM5404,BUSINESS INTELLIGENCE,2,no,,FSU;UWF
ISM6137,BUSINESS ANALYTICS,2,no,,USF;UWF
ISM6326,INFORMATION SECURITY AND COMPLIANCE,2,no,,FIU;UWF
ISM6575,ADVANCED CYBERSECURITY RISK MANAGEMENT,2,no,,FIU;UWF
JOU3314,ENVIRONMENTAL REPORTING,2,yes,queued,FIU;UWF
JOU3342,MEDIA CONVERGENCE,2,yes,queued,UNF;UWF
JOU3905,DIRECTED STUDY,2,no,,UCF;UWF
JOU4306,ADVANCED DATA JOURNALISM,2,yes,queued,UF;UWF
JOU4313C,SPORTS REPORTING,2,yes,queued,UF;UWF
JOU4905,DIRECTED STUDY,2,no,,UF;UWF
JPN2905,DIRECTED STUDY,2,no,,UCF;UWF
JPN3905,DIRECTED STUDY,2,no,,UCF;UWF
LAE3905,DIRECTED STUDY,2,no,,UCF;UWF
LAE4905,DIRECTED STUDY,2,no,,FSU;UWF
LAH4131,INDIANS IN LATIN AMERICAN HISTORY,2,yes,queued,FAU;UWF
LAH6905,DIRECTED STUDY,2,no,,UNF;UWF
LEI3905,DIRECTED STUDY,2,no,,UCF;UWF
LEI4905,DIRECTED STUDY,2,no,,UF;UWF
LEI6905,DIRECTED STUDY,2,no,,UF;UWF
LIN3673,RHETORICAL GRAMMAR,2,yes,queued,UCF;UWF
LIN3905,DIRECTED STUDY,2,no,,UCF;UWF
LIS4905,DIRECTED STUDY,2,no,,FSU;UWF
LIT2905,DIRECTED STUDY,2,no,,UCF;UWF
LIT3002,TOPICS IN GENRE FICTION,2,yes,queued,FSU;UWF
LIT3905,DIRECTED STUDY,2,no,,UCF;UWF
LIT4385,FEMINIST THEORY,2,yes,queued,FSU;UWF
LIT4905,DIRECTED STUDY,2,no,,UNF;UWF
MAA4905,DIRECTED STUDY,2,no,,STU;UWF
MAC3905,DIRECTED STUDY,2,no,,UCF;UWF
MAD6405,NUMERICAL ANALYSIS,2,no,,UNF;UWF
MAE3905,DIRECTED STUDY,2,no,,UCF;UWF
MAE4905,DIRECTED STUDY,2,no,,FSU;UWF
MAN5331,COMPENSATION MANAGEMENT,2,no,,FSU;UWF
MAN5446,BUSINESS NEGOTIATION,2,no,,FAMU;UWF
MAN5619,GLOBAL LOGISTICS MANAGEMENT,2,no,,FLPOLY;UWF
MAN6317,CRITICAL THINKING IN HUMAN RESOURCE MANAGEMENT,2,no,,FIU;UWF
MAN6511,OPERATIONS MANAGEMENT PROBLEMS,2,no,,UF;UWF
MAN6774,EXECUTIVE LEADERSHIP,2,no,,USF;UWF
MAP3905,DIRECTED STUDY,2,no,,UCF;UWF
MAP5196,MATHEMATICS FOR DATA SCIENCE,2,no,,FSU;UWF
MAS3905,DIRECTED STUDY,2,no,,UCF;UWF
MAT3905,DIRECTED STUDY,2,no,,FIU;UWF
MAT6905,DIRECTED STUDY,2,no,,UF;UWF
MAT6910,SUPERVISED RESEARCH,2,no,,UF;UWF
MCB3905,DIRECTED STUDY,2,no,,UCF;UWF
MCB6905,DIRECTED STUDY,2,no,,UF;UWF
MHF3905,DIRECTED STUDY,2,no,,UCF;UWF
MMC3905,DIRECTED STUDY,2,no,,UCF;UWF
MMC3930,SPECIAL TOPICS,2,no,,UCF;UWF
MMC6905,DIRECTED STUDY,2,no,,UF;UWF
MSL3905,DIRECTED STUDY,2,no,,UCF;UWF
MTG3905,DIRECTED STUDY,2,no,,UCF;UWF
MUE3423,STRING TECHNIQUES,2,yes,queued,USF;UWF
MUE3905,DIRECTED INDEPENDENT STUDY,2,no,,UCF;UWF
MUE4344,TEACHING INSTRUMENTAL MUSIC,2,yes,queued,FGCU;UWF
MUE4411,CHORAL TECHNIQUES,2,yes,queued,FSU;UWF
MUE4475,PERCUSSION METHODS AND MATERIALS,2,yes,queued,FAU;UWF
MUG3108,CONDUCTING 2,2,yes,queued,USF;UWF
MUH2513,WORLD MUSIC,2,yes,queued,FSWSC;UWF
MUH3905,DIRECTED STUDY,2,no,,UCF;UWF
MUH4905,DIRECTED STUDY,2,no,,FLAC;UWF
MUL3551,WIND LITERATURE,2,yes,queued,FIU;UWF
MUL3602,SONG LITERATURE,2,yes,queued,UCF;UWF
MUL3905,DIRECTED STUDY,2,no,,UCF;UWF
MUN2905,DIRECTED STUDY,2,no,,UCF;UWF
MUN3103,PEP BAND,2,yes,queued,UNF;UWF
MUN3437,HORN QUARTET,2,yes,queued,UCF;UWF
MUN3905,DIRECTED STUDY,2,no,,UCF;UWF
MUT2905,DIRECTED STUDY,2,no,,UCF;UWF
MUT3401,COUNTERPOINT,2,yes,queued,FIU;UWF
MUT3905,DIRECTED STUDY,2,no,,UCF;UWF
MUT4905,DIRECTED STUDY,2,no,,UCF;UWF
MVK3905,DIRECTED STUDY,2,no,,UCF;UWF
MVK4942,ACCOMPANYING INTERNSHIP I,2,no,,UNF;UWF
